name,doi,Abstract,keywords,URL,key,Algorithm used,Accuracy,base network/provided network,github,application,Dataset,Notes,favourite,Category
"A. Rosenfeld and J. K. Tsotsos, ""Incremental Learning Through Deep Adaptation,"" in IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 42, no. 3, pp. 651-663, 1 March 2020.",doi: 10.1109/TPAMI.2018.2884462,"Abstract: Given an existing trained neural network, it is often desirable to learn new capabilities without hindering performance of those already learned. Existing approaches either learn sub-optimal solutions, require joint training, or incur a substantial increment in the number of parameters for each added domain, typically as many as the original network. We propose a method called Deep Adaptation Modules (DAM) that constrains newly learned filters to be linear combinations of existing ones. DAMs precisely preserve performance on the original domain, require a fraction (typically 13 percent, dependent on network architecture) of the number of parameters compared to standard fine-tuning procedures and converge in less cycles of training to a comparable or better level of performance. When coupled with standard network quantization techniques, we further reduce the parameter cost to around 3 percent of the original with negligible or no loss in accuracy. The learned architecture can be controlled to switch between various learned representations, enabling a single network to solve a task from multiple different domains. We conduct extensive experiments showing the effectiveness of our method on a range of image classification tasks and explore different aspects of its behavior.","keywords: {learning (artificial intelligence);neural nets;DAM;network architecture;standard fine-tuning procedures;standard network quantization techniques;parameter cost;learned architecture;learned representations;incremental learning;trained neural network;deep adaptation modules;image classification tasks;Task analysis;Switches;Training;Neural networks;Computer architecture;Convolutional codes;Incremental learning;transfer learning;domain adaptation},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8554156&isnumber=8984605,45,CNN,,DAM,,Deep Adaptation/finetuning,,,1,
"S. Jiang, W. Min, L. Liu and Z. Luo, ""Multi-Scale Multi-View Deep Feature Aggregation for Food Recognition,"" in IEEE Transactions on Image Processing, vol. 29, pp. 265-276, 2020.",doi: 10.1109/TIP.2019.2929447,"Abstract: Recently, food recognition has received more and more attention in image processing and computer vision for its great potential applications in human health. Most of the existing methods directly extracted deep visual features via convolutional neural networks (CNNs) for food recognition. Such methods ignore the characteristics of food images and are, thus, hard to achieve optimal recognition performance. In contrast to general object recognition, food images typically do not exhibit distinctive spatial arrangement and common semantic patterns. In this paper, we propose a multi-scale multi-view feature aggregation (MSMVFA) scheme for food recognition. MSMVFA can aggregate high-level semantic features, mid-level attribute features, and deep visual features into a unified representation. These three types of features describe the food image from different granularity. Therefore, the aggregated features can capture the semantics of food images with the greatest probability. For that solution, we utilize additional ingredient knowledge to obtain mid-level attribute representation via ingredient-supervised CNNs. High-level semantic features and deep visual features are extracted from class-supervised CNNs. Considering food images do not exhibit distinctive spatial layout in many cases, MSMVFA fuses multi-scale CNN activations for each type of features to make aggregated features more discriminative and invariable to geometrical deformation. Finally, the aggregated features are more robust, comprehensive, and discriminative via two-level fusion, namely multi-scale fusion for each type of features and multi-view aggregation for different types of features. In addition, MSMVFA is general and different deep networks can be easily applied into this scheme. Extensive experiments and evaluations demonstrate that our method achieves state-of-the-art recognition performance on three popular large-scale food benchmark datasets in Top-1 recognition accuracy. Furthermore, we expect this paper will further the agenda of food recognition in the community of image processing and computer vision.","keywords: {computer vision;convolutional neural nets;feature extraction;image classification;image fusion;image representation;learning (artificial intelligence);object recognition;food image;optimal recognition performance;general object recognition;multiscale multiview feature aggregation scheme;food recognition;high-level semantic features;mid-level attribute features;deep visual features;aggregated features;multiscale fusion;state-of-the-art recognition performance;large-scale food benchmark datasets;image processing;computer vision;multiscale multiview deep feature aggregation;multiscale CNN activations;Feature extraction;Visualization;Image recognition;Semantics;Object recognition;Deep learning;Computer vision;Food recognition;ingredient knowledge;feature aggregation;convolutional neural networks},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8779586&isnumber=8835130,46,,0.983/0.969 top 5,MSMVFA,,Food Recognition,VIREOFOOD-172/CHINESEFOODNET,,1,
"N. Kumar et al., ""A Multi-Organ Nucleus Segmentation Challenge,"" in IEEE Transactions on Medical Imaging, vol. 39, no. 5, pp. 1380-1391, May 2020.",doi: 10.1109/TMI.2019.2947628,"Abstract: Generalized nucleus segmentation techniques can contribute greatly to reducing the time to develop and validate visual biomarkers for new digital pathology datasets. We summarize the results of MoNuSeg 2018 Challenge whose objective was to develop generalizable nuclei segmentation techniques in digital pathology. The challenge was an official satellite event of the MICCAI 2018 conference in which 32 teams with more than 80 participants from geographically diverse institutes participated. Contestants were given a training set with 30 images from seven organs with annotations of 21,623 individual nuclei. A test dataset with 14 images taken from seven organs, including two organs that did not appear in the training set was released without annotations. Entries were evaluated based on average aggregated Jaccard index (AJI) on the test set to prioritize accurate instance segmentation as opposed to mere semantic segmentation. More than half the teams that completed the challenge outperformed a previous baseline. Among the trends observed that contributed to increased accuracy were the use of color normalization as well as heavy data augmentation. Additionally, fully convolutional networks inspired by variants of U-Net, FCN, and Mask-RCNN were popularly used, typically based on ResNet or VGG base architectures. Watershed segmentation on predicted semantic segmentation maps was a popular post-processing strategy. Several of the top techniques compared favorably to an individual human annotator and can be used with confidence for nuclear morphometrics.","keywords: {convolutional neural nets;image segmentation;learning (artificial intelligence);medical image processing;recurrent neural nets;generalized nucleus segmentation techniques;visual biomarkers;digital pathology datasets;MoNuSeg 2018 Challenge;generalizable nuclei segmentation techniques;official satellite event;MICCAI 2018 conference;geographically diverse institutes;training set;test dataset;average aggregated Jaccard index;watershed segmentation;predicted semantic segmentation maps;instance segmentation;multiorgan nucleus segmentation challenge;Image segmentation;Pathology;Image color analysis;Semantics;Machine learning algorithms;Task analysis;Deep learning;Multi-organ;nucleus segmentation;digital pathology;instance segmentation;aggregated Jaccard index},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8880654&isnumber=9084068,47,CNN,,CNN,,,MoNuSeg 2018,,,
"J. Liu et al., ""Feature Boosting Network For 3D Pose Estimation,"" in IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 42, no. 2, pp. 494-501, 1 Feb. 2020.",doi: 10.1109/TPAMI.2019.2894422,"Abstract: In this paper, a feature boosting network is proposed for estimating 3D hand pose and 3D body pose from a single RGB image. In this method, the features learned by the convolutional layers are boosted with a new long short-term dependence-aware (LSTD) module, which enables the intermediate convolutional feature maps to perceive the graphical long short-term dependency among different hand (or body) parts using the designed Graphical ConvLSTM. Learning a set of features that are reliable and discriminatively representative of the pose of a hand (or body) part is difficult due to the ambiguities, texture and illumination variation, and self-occlusion in the real application of 3D pose estimation. To improve the reliability of the features for representing each body part and enhance the LSTD module, we further introduce a context consistency gate (CCG) in this paper, with which the convolutional feature maps are modulated according to their consistency with the context representations. We evaluate the proposed method on challenging benchmark datasets for 3D hand pose estimation and 3D full body pose estimation. Experimental results show the effectiveness of our method that achieves state-of-the-art performance on both of the tasks.","keywords: {convolutional neural nets;feature extraction;image colour analysis;image enhancement;image representation;pose estimation;short-term dependence-aware module;intermediate convolutional feature maps;3D pose estimation;body part;LSTD module;feature boosting network;RGB image;convolutional layers;Graphical ConvLSTM;Three-dimensional displays;Pose estimation;Two dimensional displays;Boosting;Logic gates;Reliability;Task analysis;3D pose estimation;convolutional LSTM;long short-term dependency;context consistency gate},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8621059&isnumber=8952810,48,CNN/LSTM,0.498/0.877,LSTD/CCG,,3D Pose Estimation,Human3.6M/3DHandPose,,2,
"J. Zhu, H. Chen and W. Ye, ""A Hybrid CNN–LSTM Network for the Classification of Human Activities Based on Micro-Doppler Radar,"" in IEEE Access, vol. 8, pp. 24713-24720, 2020.",doi: 10.1109/ACCESS.2020.2971064,"Abstract: Many deep learning (DL) models have shown exceptional promise in radar-based human activity recognition (HAR) area. For radar-based HAR, the raw data is generally converted into a 2-D spectrogram by using short-time Fourier transform (STFT). All the existing DL methods treat the spectrogram as an optical image, and thus the corresponding architectures such as 2-D convolutional neural networks (2D-CNNs) are adopted in those methods. These 2-D methods that ignore temporal characteristics ordinarily lead to a complex network with a huge amount of parameters but limited recognition accuracy. In this paper, for the first time, the radar spectrogram is treated as a time sequence with multiple channels. Hence, we propose a DL model composed of 1-D convolutional neural networks (1D-CNNs) and long short-term memory (LSTM). The experiments results show that the proposed model can extract spatio-temporal characteristics of the radar data and thus achieves the best recognition accuracy and relatively low complexity compared to the existing 2D-CNN methods.","keywords: {complex networks;convolutional neural nets;Doppler radar;feature extraction;Fourier transforms;image classification;image motion analysis;learning (artificial intelligence);radar imaging;recurrent neural nets;spatiotemporal phenomena;1D convolutional neural networks;1D-CNN;spatiotemporal characteristics;radar data;recognition accuracy;hybrid CNN-LSTM network;human activity classification;microDoppler radar;deep learning models;radar-based human activity recognition area;radar-based HAR;optical image;2D convolutional neural networks;2D-CNN;complex network;radar spectrogram;time sequence;1D-CNN;2D spectrogram;short-time Fourier transform;STFT;DL methods;temporal characteristics;Feature extraction;Spectrogram;Radar;Convolution;Time-frequency analysis;Activity recognition;Convolutional neural networks;Radar signal processing;human activity recognition;convolutional neural network;recurrent neural network;deep learning},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8978926&isnumber=8948470,49,CNN/LSTM,0.9828,1D CNN/CNN/LSTM,,Classification of Human Activities,,,2,
"W. Zhang et al., ""Deep Model Based Transfer and Multi-Task Learning for Biological Image Analysis,"" in IEEE Transactions on Big Data, vol. 6, no. 2, pp. 322-333, 1 June 2020.",doi: 10.1109/TBDATA.2016.2573280,"Abstract: A central theme in learning from image data is to develop appropriate representations for the specific task at hand. Thus, a practical challenge is to determine what features are appropriate for specific tasks. For example, in the study of gene expression patterns in Drosophila, texture features were particularly effective for determining the developmental stages from in situ hybridization images. Such image representation is however not suitable for controlled vocabulary term annotation. Here, we developed feature extraction methods to generate hierarchical representations for ISH images. Our approach is based on the deep convolutional neural networks that can act on image pixels directly. To make the extracted features generic, the models were trained using a natural image set with millions of labeled examples. These models were transferred to the ISH image domain. To account for the differences between the source and target domains, we proposed a partial transfer learning scheme in which only part of the source model is transferred. We employed multi-task learning method to fine-tune the pre-trained models with labeled ISH images. Results showed that feature representations computed by deep models based on transfer and multi-task learning significantly outperformed other methods for annotating gene expression patterns at different stage ranges.","keywords: {biology computing;convolutional neural nets;feature extraction;genetics;image representation;image texture;learning (artificial intelligence);gene expression patterns;texture features;developmental stages;image representation;feature extraction;hierarchical representations;deep convolutional neural networks;image pixels;natural image;ISH image domain;partial transfer learning;source model;labeled ISH images;feature representations;deep models;model based transfer;biological image;image data;multitask learning;vocabulary term annotation;hybridization images;Feature extraction;Computational modeling;Biological system modeling;Gene expression;Data models;Training;Deep learning;transfer learning;multi-task learning;image analysis;bioinformatics},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7480825&isnumber=9098178,50,CNN,0.768/0.859,CNN,,Biological Image Analysis,,,,
"Y. Wang, Z. Li, C. Zeng, G. -S. Xia and H. Shen, ""An Urban Water Extraction Method Combining Deep Learning and Google Earth Engine,"" in IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing, vol. 13, pp. 769-782, 2020.",doi: 10.1109/JSTARS.2020.2971783,"Abstract: Urban water is important for the urban ecosystem. Accurate and efficient detection of urban water with remote sensing data is of great significance for urban management and planning. In this article, we proposed a new method by combining Google Earth Engine (GEE) with a multiscale convolutional neural network (MSCNN) to extract urban water from Landsat images, which can be summarized as “offline training and online prediction” (OTOP). That is, the training of MSCNN is completed offline, and the process of urban water extraction is implemented on GEE with the trained parameters of MSCNN. The OTOP can give full play to the respective advantages of GEE and the convolutional neural network (CNN), and can make the use of deep learning method in GEE more flexible. The proposed method can process the available satellite images with high performance, without data download and storage, and the overall performance of urban water extraction in the test areas is also higher than that of the modified normalized difference water index (MNDWI) and random forest classifier. The results of the extended validation in the other major cities of China also showed that OTOP is robust and can be used to extract different types of urban water, which benefits from the structural design and training of MSCNN. Therefore, OTOP is especially suitable for the study of large-scale and long-term urban water change detection in the background of urbanization.","keywords: {convolutional neural nets;ecology;geographic information systems;geophysical image processing;hydrological techniques;learning (artificial intelligence);remote sensing;town and country planning;water resources;OTOP;GEE;deep learning method;long-term urban water change detection;Google Earth Engine;urban ecosystem;urban management;urban planning;MSCNN;urban water extraction method;remote sensing data;multiscale convolutional neural network;Landsat images;offline training and online prediction;satellite images;China;Earth;Remote sensing;Urban areas;Artificial satellites;Training;Deep learning;Feature extraction;Convolutional neural network;google earth engine;urban water;water extraction},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8989826&isnumber=8994817,51,CNN,,MSCNN,,Google earth Urban water detection,,,,
"Z. Ouyang, J. Niu, Y. Liu and M. Guizani, ""Deep CNN-Based Real-Time Traffic Light Detector for Self-Driving Vehicles,"" in IEEE Transactions on Mobile Computing, vol. 19, no. 2, pp. 300-313, 1 Feb. 2020.",doi: 10.1109/TMC.2019.2892451,"Abstract: Due to the unavailability of Vehicle-to-Infrastructure (V2I) communication in current transportation systems, Traffic Light Detection (TLD) is still considered an important module in autonomous vehicles and Driver Assistance Systems (DAS). To overcome low flexibility and accuracy of vision-based heuristic algorithms and high power consumption of deep learning-based methods, we propose a lightweight and real-time traffic light detector for the autonomous vehicle platform. Our model consists of a heuristic candidate region selection module to identify all possible traffic lights, and a lightweight Convolution Neural Network (CNN) classifier to classify the results obtained. Offline simulations on the GPU server with the collected dataset and several public datasets show that our model achieves higher average accuracy and less time consumption. By integrating our detector module on NVidia Jetson TX1/TX2, we conduct on-road tests on two full-scale self-driving vehicle platforms (a car and a bus) in normal traffic conditions. Our model can achieve an average detection accuracy of 99.3 percent (mRttld) and 99.7 percent (Rttld) at 10Hz on TX1 and TX2, respectively. The on-road tests also show that our traffic light detection module can achieve <; + 1:5m errors at stop lines when working with other selfdriving modules.","keywords: {automobiles;convolutional neural nets;driver information systems;image sensors;learning (artificial intelligence);mobile robots;object detection;pattern classification;road traffic control;full-scale self-driving vehicle platforms;traffic light detection module;selfdriving modules;vehicle-to-infrastructure communication;driver assistance systems;vision-based heuristic algorithms;high power consumption;deep learning-based methods;lightweight time traffic light detector;autonomous vehicle platform;heuristic candidate region selection module;deep CNN-based real-time traffic light detector;self-driving vehicles;lightweight convolution neural network classifier;GPU server;Computational modeling;Feature extraction;Heuristic algorithms;Hidden Markov models;Real-time systems;Machine learning;Detectors;Traffic light detection;autonomous vehicle;deep learning;machine learning;dataset},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8611202&isnumber=8952734,52,R-CNN,0.993,CNN/ROI,,Traffic Light detector,,,,
"P. Tang et al., ""PCL: Proposal Cluster Learning for Weakly Supervised Object Detection,"" in IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 42, no. 1, pp. 176-191, 1 Jan. 2020.",doi: 10.1109/TPAMI.2018.2876304,"Abstract: Weakly Supervised Object Detection (WSOD), using only image-level annotations to train object detectors, is of growing importance in object recognition. In this paper, we propose a novel deep network for WSOD. Unlike previous networks that transfer the object detection problem to an image classification problem using Multiple Instance Learning (MIL), our strategy generates proposal clusters to learn refined instance classifiers by an iterative process. The proposals in the same cluster are spatially adjacent and associated with the same object. This prevents the network from concentrating too much on parts of objects instead of whole objects. We first show that instances can be assigned object or background labels directly based on proposal clusters for instance classifier refinement, and then show that treating each cluster as a small new bag yields fewer ambiguities than the directly assigning label method. The iterative instance classifier refinement is implemented online using multiple streams in convolutional neural networks, where the first is an MIL network and the others are for instance classifier refinement supervised by the preceding one. Experiments are conducted on the PASCAL VOC, ImageNet detection, and MS-COCO benchmarks for WSOD. Results show that our method outperforms the previous state of the art significantly.","keywords: {convolutional neural nets;image classification;iterative methods;object detection;object recognition;pattern clustering;supervised learning;image classification problem;proposal cluster learning;convolutional neural networks;MIL network;WSOD;weakly supervised object detection;object detectors;object recognition;multiple instance learning;iterative process;Convolutional neural networks;image classification;Object recognition;Object detection;Pattern clusteirng;Iterative methods;Object detection;weakly supervised learning;convolutional neural network;multiple instance learning;proposal cluster},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8493315&isnumber=8922815,53,R-CNN,,CNN,,object Tracking,ImageNet/PASCAL/COCO,,,
"M. Li, W. Hsu, X. Xie, J. Cong and W. Gao, ""SACNN: Self-Attention Convolutional Neural Network for Low-Dose CT Denoising With Self-Supervised Perceptual Loss Network,"" in IEEE Transactions on Medical Imaging, vol. 39, no. 7, pp. 2289-2301, July 2020.",doi: 10.1109/TMI.2020.2968472,"Abstract: Computed tomography (CT) is a widely used screening and diagnostic tool that allows clinicians to obtain a high-resolution, volumetric image of internal structures in a non-invasive manner. Increasingly, efforts have been made to improve the image quality of low-dose CT (LDCT) to reduce the cumulative radiation exposure of patients undergoing routine screening exams. The resurgence of deep learning has yielded a new approach for noise reduction by training a deep multi-layer convolutional neural networks (CNN) to map the low-dose to normal-dose CT images. However, CNN-based methods heavily rely on convolutional kernels, which use fixed-size filters to process one local neighborhood within the receptive field at a time. As a result, they are not efficient at retrieving structural information across large regions. In this paper, we propose a novel 3D self-attention convolutional neural network for the LDCT denoising problem. Our 3D self-attention module leverages the 3D volume of CT images to capture a wide range of spatial information both within CT slices and between CT slices. With the help of the 3D self-attention module, CNNs are able to leverage pixels with stronger relationships regardless of their distance and achieve better denoising results. In addition, we propose a self-supervised learning scheme to train a domain-specific autoencoder as the perceptual loss function. We combine these two methods and demonstrate their effectiveness on both CNN-based neural networks and WGAN-based neural networks with comprehensive experiments. Tested on the AAPM-Mayo Clinic Low Dose CT Grand Challenge data set, our experiments demonstrate that self-attention (SA) module and autoencoder (AE) perceptual loss function can efficiently enhance traditional CNNs and can achieve comparable or better results than the state-of-the-art methods.","keywords: {computerised tomography;convolutional neural nets;dosimetry;edge detection;feature extraction;image denoising;learning (artificial intelligence);medical image processing;low-dose CT denoising;self-supervised perceptual loss network;computed tomography;diagnostic tool;volumetric image;internal structures;noninvasive manner;image quality;deep learning;noise reduction;multilayer convolutional neural networks;CT images;CNN-based methods;convolutional kernels;structural information;3D self-attention convolutional neural network;LDCT denoising problem;3D self-attention module;spatial information;CT slices;self-supervised learning scheme;perceptual loss function;CNN-based neural networks;WGAN-based neural networks;Computed tomography;Noise reduction;Three-dimensional displays;Image reconstruction;Feature extraction;Convolutional neural networks;Low-dose CT;denoising;self-attention;autoencoder;perceptual loss},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8964295&isnumber=9130176,54,CNN,,3D CNN/attention,,CT improvement,NIH-AAPM-Mayo,,,
"F. Yang et al., ""Deep Learning for Smartphone-Based Malaria Parasite Detection in Thick Blood Smears,"" in IEEE Journal of Biomedical and Health Informatics, vol. 24, no. 5, pp. 1427-1438, May 2020.",doi: 10.1109/JBHI.2019.2939121,"Abstract: Objective: This work investigates the possibility of automated malaria parasite detection in thick blood smears with smartphones. Methods: We have developed the first deep learning method that can detect malaria parasites in thick blood smear images and can run on smartphones. Our method consists of two processing steps. First, we apply an intensity-based Iterative Global Minimum Screening (IGMS), which performs a fast screening of a thick smear image to find parasite candidates. Then, a customized Convolutional Neural Network (CNN) classifies each candidate as either parasite or background. Together with this paper, we make a dataset of 1819 thick smear images from 150 patients publicly available to the research community. We used this dataset to train and test our deep learning method, as described in this paper. Results: A patient-level five-fold cross-evaluation demonstrates the effectiveness of the customized CNN model in discriminating between positive (parasitic) and negative image patches in terms of the following performance indicators: accuracy (93.46% ± 0.32%), AUC (98.39% ± 0.18%), sensitivity (92.59% ± 1.27%), specificity (94.33% ± 1.25%), precision (94.25% ± 1.13%), and negative predictive value (92.74% ± 1.09%). High correlation coefficients (>0.98) between automatically detected parasites and ground truth, on both image level and patient level, demonstrate the practicality of our method. Conclusion: Promising results are obtained for parasite detection in thick blood smears for a smartphone application using deep learning methods. Significance: Automated parasite detection running on smartphones is a promising alternative to manual parasite counting for malaria diagnosis, especially in areas lacking experienced parasitologists.","keywords: {blood;convolutional neural nets;diseases;image classification;iterative methods;learning (artificial intelligence);medical image processing;object detection;patient diagnosis;smart phones;smartphones;manual parasite;malaria diagnosis;malaria parasite detection;thick blood smears;automated malaria parasite detection;deep learning;blood smear images;customized Convolutional Neural Network;customized CNN;Iterative Global Minimum Screening;IGMS;Feature extraction;Blood;Diseases;Support vector machines;Deep learning;Sensitivity;Image segmentation;Deep learning;convolutional neural networks;computer-aided diagnosis;malaria},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8846750&isnumber=9086632,55,CNN,0.9346,CNN,,malaria parasite detection,,,,1
"K. Yuen and M. M. Trivedi, ""Looking at Hands in Autonomous Vehicles: A ConvNet Approach Using Part Affinity Fields,"" in IEEE Transactions on Intelligent Vehicles, vol. 5, no. 3, pp. 361-371, Sept. 2020.",doi: 10.1109/TIV.2019.2955369,"Abstract: In the context of autonomous driving, where humans may need to take over in the event where the computer may issue a takeover request, a key step towards driving safety is the monitoring of the hands to ensure the driver is ready for such a request. This work, focuses on the first step of this process, which is to locate the hands. Such a system must work in real-time and under varying harsh lighting conditions. This article introduces a fast ConvNet approach, based on the work of original work of OpenPose by Cao, et al. for full body joint estimation. The network is modified with fewer parameters and retrained using our own day-time naturalistic autonomous driving dataset to estimate joint and affinity heatmaps for driver and passenger's wrist and elbows, for a total of 8 joint classes and part affinity fields between each wrist-elbow pair. The approach runs real-time on real-world data at 40 fps on multiple drivers and passengers. The system is extensively evaluated both quantitatively and qualitatively, showing at least 95% detection performance on joint localization and arm-angle estimation.","keywords: {biomechanics;convolutional neural nets;image motion analysis;intelligent transportation systems;object detection;pose estimation;road safety;autonomous vehicles;part affinity fields;takeover request;harsh lighting conditions;body joint estimation;day-time naturalistic autonomous driving dataset;passenger;wrist-elbow pair;joint localization;arm-angle estimation;ConvNet;driving safety;hand monitoring;joint heatmap;affinity heatmap;driver wrist;driver elbows;Heating systems;Wrist;Elbow;Autonomous vehicles;Monitoring;Task analysis;Takeover;driver assistance systems;in-vehicle activity monitoring;situational awareness;joint localization},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8910347&isnumber=9178528,56,CNN,0.95,VGG19,,Pose Estimation,COCO/MPII human multi-person,,2,
"H. Jung, Y. Kim, H. Jang, N. Ha and K. Sohn, ""Unsupervised Deep Image Fusion With Structure Tensor Representations,"" in IEEE Transactions on Image Processing, vol. 29, pp. 3845-3858, 2020.",doi: 10.1109/TIP.2020.2966075,"Abstract: Convolutional neural networks (CNNs) have facilitated substantial progress on various problems in computer vision and image processing. However, applying them to image fusion has remained challenging due to the lack of the labelled data for supervised learning. This paper introduces a deep image fusion network (DIF-Net), an unsupervised deep learning framework for image fusion. The DIF-Net parameterizes the entire processes of image fusion, comprising of feature extraction, feature fusion, and image reconstruction, using a CNN. The purpose of DIF-Net is to generate an output image which has an identical contrast to high-dimensional input images. To realize this, we propose an unsupervised loss function using the structure tensor representation of the multi-channel image contrasts. Different from traditional fusion methods that involve time-consuming optimization or iterative procedures to obtain the results, our loss function is minimized by a stochastic deep learning solver with large-scale examples. Consequently, the proposed method can produce fused images that preserve source image details through a single forward network trained without reference ground-truth labels. The proposed method has broad applicability to various image fusion problems, including multi-spectral, multi-focus, and multi-exposure image fusions. Quantitative and qualitative evaluations show that the proposed technique outperforms existing state-of-the-art approaches for various applications.","keywords: {computer vision;convolutional neural nets;feature extraction;image fusion;image reconstruction;image representation;minimisation;stochastic processes;tensors;unsupervised learning;computer vision;loss function minimization;DIF-Net;multichannel image contrasts;convolutional neural networks;unsupervised deep learning framework;deep image fusion network;image fusion problems;source image details;stochastic deep learning solver;structure tensor representation;unsupervised loss function;image reconstruction;Image fusion;Tensors;Feature extraction;Transforms;Image reconstruction;Iterative methods;Imaging;Image fusion;image contrast;structure tensor;convolutional neural network;and unsupervised learning},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8962327&isnumber=8835130,57,CNN,,DIF-Net,,Unsupervised CNN,COCO,,3,
"Y. Liang, L. Lu, Q. Xiao and S. Yan, ""Evaluating Fast Algorithms for Convolutional Neural Networks on FPGAs,"" in IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems, vol. 39, no. 4, pp. 857-870, April 2020.",doi: 10.1109/TCAD.2019.2897701,"Abstract: In recent years, convolutional neural networks (CNNs) have become widely adopted for computer vision tasks. Field-programmable gate arrays (FPGAs) have been adequately explored as a promising hardware accelerator for CNNs due to its high performance, energy efficiency, and reconfigurability. However, prior FPGA solutions based on the conventional convolutional algorithm is often bounded by the computational capability of FPGAs (e.g., the number of DSPs). To address this problem, the feature maps are transformed to a special domain using fast algorithms to reduce the arithmetic complexity. Winograd and fast Fourier transformation (FFT), as fast algorithm representatives, first transform input data and filter to Winograd or frequency domain, then perform element-wise multiplication, and apply inverse transformation to get the final output. In this paper, we propose a novel architecture for implementing fast algorithms on FPGAs. Our design employs line buffer structure to effectively reuse the feature map data among different tiles. We also effectively pipeline the Winograd/FFT processing element (PE) engine and initiate multiple PEs through parallelization. Meanwhile, there exists a complex design space to explore. We propose an analytical model to predict the resource usage and the performance. Then, we use the model to guide a fast design space exploration. Experiments using the state-of-the-art CNNs demonstrate the best performance and energy efficiency on FPGAs. We achieve 854.6 and 2479.6 GOP/s for AlexNet and VGG16 on Xilinx ZCU102 platform using Winograd. We achieve 130.4 GOP/s for Resnet using Winograd and 201.1 GOP/s for YOLO using FFT on Xilinx ZC706 platform.","keywords: {convolutional neural nets;electronic engineering computing;fast Fourier transforms;field programmable gate arrays;feature map data;complex design space;design space exploration;energy efficiency;convolutional neural networks;computer vision tasks;field-programmable gate arrays;hardware accelerator;FPGA solutions;fast Fourier transformation;element-wise multiplication;inverse transformation;design space exploration;arithmetic complexity;Winograd-FFT processing element;AlexNet;VGG16;Xilinx ZCU102 platform;Xilinx ZC706 platform;Field programmable gate arrays;Convolution;Space exploration;Prediction algorithms;Transforms;Analytical models;Convolutional neural networks;Convolutional neural network (CNN);fast algorithm;fast Fourier transformation (FFT);field-programmable gate array (FPGA);Winograd},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8634913&isnumber=9042369,58,CNN,,CNN,,FPGA,,,1,
